,allInPings,assistMePings,assists,baronKills,basicPings,bountyLevel,challenges,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,missions,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerScore0,playerScore1,playerScore10,playerScore11,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,riotIdGameName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
quickFirstTurret,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
quickSoloKills,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
riftHeraldTakedowns,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
saveAllyFromDeath,1,17,10,0,0,0,1,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
scuttleCrabKills,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
skillshotsDodged,1,17,10,0,0,0,18,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
skillshotsHit,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
snowballsHit,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
soloBaronKills,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
soloKills,1,17,10,0,0,0,4,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
soloTurretsLategame,1,17,10,0,0,0,1,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
stealthWardsPlaced,1,17,10,0,0,0,11,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
survivedSingleDigitHpCount,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
survivedThreeImmobilizesInFight,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
takedownOnFirstTurret,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
takedowns,1,17,10,0,0,0,17,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
takedownsAfterGainingLevelAdvantage,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
takedownsBeforeJungleMinionSpawn,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
takedownsFirstXMinutes,1,17,10,0,0,0,4,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
takedownsInAlcove,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
takedownsInEnemyFountain,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
teamBaronKills,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
teamDamagePercentage,1,17,10,0,0,0,0.1511493478639914,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
teamElderDragonKills,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
teamRiftHeraldKills,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
tookLargeDamageSurvived,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
turretPlatesTaken,1,17,10,0,0,0,3,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
